Date : 2023-03-08 02:02:13
Directory : c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine
Total : 86 files,  3871 codes, 264 comments, 484 blanks, all 4619 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\mutations\updateItem.ts                             | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\mutations\updatePrice.ts                            | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\queries\getAllItems.ts                              | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\urls.ts                                                  | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\login.ts                                  | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\helpers\conver-title.ts                                      | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\index.tsx                                                    | TypeScript JSX     |         26 |          0 |          2 |         28 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\config.ts                                      | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\layout.ts                                      | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\message.ts                                     | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\nav-links.ts                                   | TypeScript         |         58 |          0 |          3 |         61 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\status.ts                                      | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\contexts\auth-context.tsx                                | TypeScript JSX     |         74 |          0 |         14 |         88 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\store\useMessage.tsx                                     | TypeScript JSX     |          8 |          0 |          3 |         11 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\components\login-form\index.tsx              | TypeScript JSX     |         55 |          0 |          7 |         62 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\components\login-form\styles.ts              | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\templates\login-template.tsx                 | TypeScript JSX     |         44 |          0 |          6 |         50 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\dashboard\table\index.tsx                            | TypeScript JSX     |         92 |          0 |          6 |         98 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\components\error-conatiner\index.tsx           | TypeScript JSX     |         22 |          0 |          3 |         25 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\components\error-conatiner\styles.tsx          | TypeScript JSX     |         33 |          0 |          7 |         40 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\templates\error-template.tsx                   | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-header\index.tsx                  | TypeScript JSX     |         16 |          0 |          5 |         21 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-header\styles.ts                  | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-item\index.tsx                    | TypeScript JSX     |         74 |          0 |          7 |         81 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-item\styles.ts                    | TypeScript         |         42 |          0 |          7 |         49 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\index.tsx                 | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\styles.ts                 | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\index.tsx            | TypeScript JSX     |         30 |          5 |          4 |         39 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\styles.ts            | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\index.tsx               | TypeScript JSX     |         34 |          0 |          5 |         39 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\styles.ts               | TypeScript         |         36 |          0 |          6 |         42 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\index.tsx                      | TypeScript JSX     |         20 |          1 |          4 |         25 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\styles.ts                      | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\templates\nav\index.tsx                          | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\form-modal.tsx       | TypeScript JSX     |         40 |         41 |          9 |         90 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\index.tsx            | TypeScript JSX     |         59 |          0 |          8 |         67 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\styles.ts            | TypeScript         |         41 |          0 |          1 |         42 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\table.tsx            | TypeScript JSX     |        208 |         13 |         19 |        240 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\form-modal.tsx       | TypeScript JSX     |         88 |         41 |         10 |        139 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\index.tsx            | TypeScript JSX     |         57 |          1 |          8 |         66 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\styles.ts            | TypeScript         |         41 |          0 |          1 |         42 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\table.tsx            | TypeScript JSX     |        221 |         13 |         22 |        256 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\form-modal\index.tsx                | TypeScript JSX     |        110 |          4 |         14 |        128 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\form-modal\styles.ts                | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\customer-form.tsx | TypeScript JSX     |        101 |          1 |         12 |        114 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\index.tsx         | TypeScript JSX     |        124 |          0 |         15 |        139 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\invoice-form.tsx  | TypeScript JSX     |        181 |          2 |         18 |        201 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\styles.ts         | TypeScript         |         57 |          0 |          3 |         60 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\table.tsx         | TypeScript JSX     |        138 |          8 |         18 |        164 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\index.tsx             | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\styles.ts             | TypeScript         |         44 |          0 |          2 |         46 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\table.tsx             | TypeScript JSX     |        169 |         68 |         21 |        258 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\form-modal.tsx           | TypeScript JSX     |         88 |         45 |         13 |        146 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\index.tsx                | TypeScript JSX     |         67 |          0 |          8 |         75 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\price-form-modal.tsx     | TypeScript JSX     |         80 |          1 |          9 |         90 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\styles.ts                | TypeScript         |         41 |          0 |          1 |         42 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\table.tsx                | TypeScript JSX     |        252 |          8 |         23 |        283 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\pos-table\index.tsx                 | TypeScript JSX     |        229 |          0 |         20 |        249 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\pos-table\styles.ts                 | TypeScript         |          6 |          2 |          1 |          9 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\pages\error.tsx                                              | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\pages\login.tsx                                              | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\pages\root.tsx                                               | TypeScript JSX     |         34 |          6 |          5 |         45 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\routes\index.tsx                                             | TypeScript JSX     |         36 |          0 |          2 |         38 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\types\global.ts                                              | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\tsconfig.json                                                    | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\vite.config.ts                                                   | TypeScript         |          8 |          1 |          2 |         11 |
| c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\vite.svg                                                         | XML                |          1 |          0 |          0 |          1 |
| Total                                                                                                                 |                    |      3,871 |        264 |        484 |      4,619 |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
